Category,Course Code,Course Name,Section,MeetingTimes,Dates,Instructor,Notes,Class Nbr,Specialization #1,Specialization #2,Specialization #3,Specialization #4,Specialization #5,Specialization #6,Specialization #7,Specialization #8,Days,Times,Credits
Management and Organizational Behavior,MGMT-GB.3321,Developing Managerial Skills (3),10,R 6:00 pm - 9:00 pm,09/24-12/17,"Chugh,D",,22005,Leadership and Change Management,Management,,,,,,,R,6:00 pm - 9:00 pm,3
Management and Organizational Behavior,MGMT-GB.3323,Game Theory (3),10,T 6:00 pm - 9:00 pm,09/22-12/08,"Seamans,R",,21700,Economics,Management,Strategy,,,,,,T,6:00 pm - 9:00 pm,3
Management and Organizational Behavior,MGMT-GB.3333,Business Start-Up Practicum (3),10,,09/22-12/08,,,21693,Entrepreneurship and Innovation,Management,,,,,,,N/A,,3
Management and Organizational Behavior,MGMT-GB.3335,Foundations of Entrepreneurship (3),01,MW 9:00 am - 10:20 am,09/02-12/09,"Okun,G",,21694,Entrepreneurship and Innovation,Management,Strategy,,,,,,MW,9:00 am - 10:20 am,3
Management and Organizational Behavior,MGMT-GB.3335,Foundations of Entrepreneurship (3),02,TR 3:00 pm - 4:20 pm,09/03-12/03,"Okun,G",,21695,Entrepreneurship and Innovation,Management,Strategy,,,,,,TR,3:00 pm - 4:20 pm,3
Management and Organizational Behavior,MGMT-GB.3335,Foundations of Entrepreneurship (3),10,R 6:00 pm - 9:00 pm,09/24-12/17,"Okun,G",,21696,Entrepreneurship and Innovation,Management,Strategy,,,,,,R,6:00 pm - 9:00 pm,3
Management and Organizational Behavior,MGMT-GB.3339,Endless Frontier Labs (3),01,R 9:00 am - 11:50 am,09/03-12/03,"Hegde,D","By-Permission Only. To apply, visit http://bitly.com/cdlcourseapp2019. Contact instructor to drop course.",21702,Entrepreneurship and Innovation,Healthcare,Management,Strategy,,,,,R,9:00 am - 11:50 am,3
Management and Organizational Behavior,MGMT-GB.3366,Power and Politics in Organizations (3),10,T 6:00 pm - 9:00 pm,09/22-12/08,"Kabaliswaran,R",,21697,Leadership and Change Management,Management,,,,,,,T,6:00 pm - 9:00 pm,3
Management and Organizational Behavior,MGMT-GB.3366,Power and Politics in Organizations (3),91,M 6:00 pm - 9:00 pm,09/21-12/14,"Kabaliswaran,R",Westchester,22011,Leadership and Change Management,Management,,,,,,,M,6:00 pm - 9:00 pm,3
Marketing,MKTG-GB.2119,Entertainment and Media Industries (1.5),10,M 6:00 pm - 9:00 pm,09/21-11/02,"Hardart,P",,21717,"Entertainment, Media & Technology",Marketing,Strategy,,,,,,M,6:00 pm - 9:00 pm,1.5
Marketing,MKTG-GB.2123,Deal Making and Business Development in Media (1.5),10,M 6:00 pm - 9:00 pm,11/09-12/14,"Walker,J",,21718,"Entertainment, Media & Technology",Marketing,,,,,,,M,6:00 pm - 9:00 pm,1.5
Marketing,MKTG-GB.2132,Digital Transformations in Media & Entertainment (1.5),10,M 6:00 pm - 9:00 pm,11/09-12/14,"Rose,J",,21729,"Entertainment, Media & Technology",Marketing,,,,,,,M,6:00 pm - 9:00 pm,1.5
